Genotype,Root_length,Temp,Geno_temp
wt,6.953867973,28,wt_28
wt,7.453229204,28,wt_28
wt,7.16938986,28,wt_28
wt,6.999647013,28,wt_28
wt,7.179812653,28,wt_28
wt,7.705244434,28,wt_28
wt,7.264818865,28,wt_28
wt,6.950081396,28,wt_28
wt,7.193198441,28,wt_28
wt,7.091988771,28,wt_28
wt,6.958609225,28,wt_28
wt,7.27404028,28,wt_28
wt,6.661737286,28,wt_28
wt,7.280293816,28,wt_28
wt,7.16869942,28,wt_28
wt,7.237069927,28,wt_28
wt,6.532587518,28,wt_28
wt,7.344481127,28,wt_28
wt,7.564651906,28,wt_28
wt,6.950820803,28,wt_28
wt,7.322175681,28,wt_28
ein2,5.177077694,28,ein2_28
ein2,5.032415776,28,ein2_28
ein2,5.22915523,28,ein2_28
ein2,5.096053956,28,ein2_28
ein2,4.736760784,28,ein2_28
ein2,4.600490162,28,ein2_28
ein2,5.123237734,28,ein2_28
ein2,4.837355837,28,ein2_28
ein2,5.698299381,28,ein2_28
ein2,5.700306383,28,ein2_28
ein2,5.152413188,28,ein2_28
ein2,5.913376203,28,ein2_28
ein2,5.758766957,28,ein2_28
ein2,5.195206033,28,ein2_28
ein2,5.677113495,28,ein2_28
ein2,5.656486987,28,ein2_28
ein2,5.638850192,28,ein2_28
ein2,5.277572252,28,ein2_28
ein2,5.753991832,28,ein2_28
ein2,5.6148031,28,ein2_28
ein2,5.688720616,28,ein2_28
ein2,6.179054296,28,ein2_28
ein2,5.707538222,28,ein2_28
ein2,5.380765593,28,ein2_28
ein2,5.480018541,28,ein2_28
ein2,5.945433967,28,ein2_28
ein2,5.430521202,28,ein2_28
ein2,5.349199749,28,ein2_28
ein2,5.589176987,28,ein2_28
ein3,5.287638687,28,ein3_28
ein3,5.260318344,28,ein3_28
ein3,5.130904685,28,ein3_28
ein3,5.442111344,28,ein3_28
ein3,5.319834652,28,ein3_28
ein3,4.986924005,28,ein3_28
ein3,4.883556405,28,ein3_28
ein3,5.596680313,28,ein3_28
ein3,5.611805316,28,ein3_28
ein3,5.184531749,28,ein3_28
ein3,4.632464961,28,ein3_28
ein3,5.364852438,28,ein3_28
ein3,5.839662441,28,ein3_28
ein3,5.696247228,28,ein3_28
