Genotype,Root_length,Temp,Geno_temp
INO80oxein3,5.071771741,28,INO80oxein3_28
INO80oxlhp1,3.925357656,28,INO80oxlhp1_28
INO80oxlhp1,3.620840882,28,INO80oxlhp1_28
INO80oxlhp1,3.919685138,28,INO80oxlhp1_28
INO80oxlhp1,3.816255388,28,INO80oxlhp1_28
INO80oxlhp1,3.593053039,28,INO80oxlhp1_28
INO80oxlhp1,4.396376585,28,INO80oxlhp1_28
INO80oxlhp1,4.159355282,28,INO80oxlhp1_28
INO80oxlhp1,4.149909415,28,INO80oxlhp1_28
INO80oxlhp1,4.012519523,28,INO80oxlhp1_28
INO80oxlhp1,3.629187231,28,INO80oxlhp1_28
INO80oxlhp1,3.756681452,28,INO80oxlhp1_28
INO80oxlhp1,3.317048791,28,INO80oxlhp1_28
INO80oxlhp1,3.760329856,28,INO80oxlhp1_28
INO80oxlhp1,4.035859312,28,INO80oxlhp1_28
INO80oxlhp1,3.548672456,28,INO80oxlhp1_28
INO80oxlhp1,4.078415693,28,INO80oxlhp1_28
INO80oxlhp1,3.593552821,28,INO80oxlhp1_28
INO80oxlhp1,4.072143437,28,INO80oxlhp1_28
INO80oxlhp1,3.205247704,28,INO80oxlhp1_28
INO80oxlhp1,3.883825826,28,INO80oxlhp1_28
INO80oxlhp1,3.506465921,28,INO80oxlhp1_28
INO80oxlhp1,3.929103517,28,INO80oxlhp1_28
INO80oxlhp1,3.42409071,28,INO80oxlhp1_28
INO80oxlhp1,3.723720872,28,INO80oxlhp1_28
INO80oxlhp1,3.993352908,28,INO80oxlhp1_28
INO80oxlhp1,4.24027488,28,INO80oxlhp1_28
INO80oxlhp1,3.352308365,28,INO80oxlhp1_28
INO80oxlhp1,3.729785719,28,INO80oxlhp1_28
